Mes,IPC,DTF,usura E.A.,usura M.V.,usura-DTF,usura-IPC
1/09/2006,"4,58%","6,42%","22,58%","1,71%","16,16%","18,00%"
1/10/2006,"4,19%","6,42%","22,61%","1,71%","16,19%","18,42%"
1/11/2006,"4,31%","6,68%","31,02%","2,28%","24,34%","26,71%"
1/12/2006,"4,48%","6,75%","31,02%","2,28%","24,27%","26,54%"
1/01/2007,"4,71%","6,81%","32,09%","2,35%","25,28%","27,38%"
1/02/2007,"5,25%","6,80%","32,09%","2,35%","25,29%","26,84%"
1/03/2007,"5,78%","7,52%","32,09%","2,35%","24,57%","26,31%"
1/04/2007,"6,26%","7,45%","25,12%","1,89%","17,67%","18,86%"
1/05/2007,"6,23%","7,61%","25,12%","1,89%","17,51%","18,89%"
1/06/2007,"6,03%","8,02%","25,12%","1,89%","17,10%","19,09%"
1/07/2007,"5,77%","8,29%","28,51%","2,11%","20,22%","22,74%"
1/08/2007,"5,22%","8,54%","28,51%","2,11%","19,97%","23,29%"
1/09/2007,"5,01%","8,89%","28,51%","2,11%","19,62%","23,50%"
1/10/2007,"5,16%","8,59%","31,89%","2,33%","23,30%","26,73%"
1/11/2007,"5,41%","8,67%","31,89%","2,33%","23,22%","26,48%"
1/12/2007,"5,69%","8,98%","31,89%","2,33%","22,91%","26,20%"
1/01/2008,"6,00%","9,12%","32,75%","2,39%","23,63%","26,75%"
1/02/2008,"6,35%","9,30%","32,75%","2,39%","23,45%","26,40%"
1/03/2008,"5,93%","9,59%","32,75%","2,39%","23,16%","26,82%"
1/04/2008,"5,73%","9,79%","32,88%","2,40%","23,09%","27,15%"
1/05/2008,"6,39%","9,59%","32,88%","2,40%","23,29%","26,49%"
1/06/2008,"7,18%","9,75%","32,88%","2,40%","23,13%","25,70%"
1/07/2008,"7,52%","9,61%","32,27%","2,36%","22,66%","24,75%"
1/08/2008,"7,87%","9,96%","32,27%","2,36%","22,31%","24,40%"
1/09/2008,"7,57%","9,92%","32,27%","2,36%","22,35%","24,70%"
1/10/2008,"7,94%","10,02%","31,53%","2,31%","21,51%","23,59%"
1/11/2008,"7,73%","10,13%","31,53%","2,31%","21,40%","23,80%"
1/12/2008,"7,67%","10,12%","31,53%","2,31%","21,41%","23,86%"
1/01/2009,"7,18%","9,69%","30,71%","2,26%","21,02%","23,53%"
1/02/2009,"6,47%","8,98%","30,71%","2,26%","21,73%","24,24%"
1/03/2009,"6,14%","8,17%","30,71%","2,26%","22,54%","24,57%"
1/04/2009,"5,73%","7,12%","30,42%","2,24%","23,30%","24,69%"
1/05/2009,"4,77%","6,20%","30,42%","2,24%","24,22%","25,65%"
1/06/2009,"3,81%","5,52%","30,42%","2,24%","24,90%","26,61%"
1/07/2009,"3,28%","5,15%","27,98%","2,08%","22,83%","24,70%"
1/08/2009,"3,13%","5,08%","27,98%","2,08%","22,90%","24,85%"
1/09/2009,"3,21%","4,89%","27,98%","2,08%","23,09%","24,77%"
1/10/2009,"2,72%","4,41%","25,92%","1,94%","21,51%","23,20%"
1/11/2009,"2,37%","4,40%","25,92%","1,94%","21,52%","23,55%"
1/12/2009,"2,00%","4,12%","25,92%","1,94%","21,80%","23,92%"
1/01/2010,"2,10%","4,04%","24,21%","1,82%","20,17%","22,11%"
1/02/2010,"2,09%","4,00%","24,21%","1,82%","20,21%","22,12%"
1/03/2010,"1,84%","3,93%","24,21%","1,82%","20,28%","22,37%"
1/04/2010,"1,98%","3,92%","22,97%","1,74%","19,05%","20,99%"
1/05/2010,"2,07%","3,63%","22,97%","1,74%","19,34%","20,90%"
1/06/2010,"2,25%","3,54%","22,97%","1,74%","19,43%","20,72%"
1/07/2010,"2,24%","3,52%","22,41%","1,70%","18,89%","20,17%"
1/08/2010,"2,31%","3,50%","22,41%","1,70%","18,91%","20,10%"
1/09/2010,"2,28%","3,47%","22,41%","1,70%","18,94%","20,13%"
1/10/2010,"2,33%","3,45%","21,32%","1,62%","17,87%","18,99%"
1/11/2010,"2,59%","3,44%","21,32%","1,62%","17,88%","18,73%"
1/12/2010,"3,17%","3,50%","21,32%","1,62%","17,82%","18,15%"
1/01/2011,"3,40%","3,48%","23,42%","1,77%","19,94%","20,02%"
1/02/2011,"3,17%","3,46%","23,42%","1,77%","19,96%","20,25%"
1/03/2011,"3,19%","3,59%","23,42%","1,77%","19,83%","20,23%"
1/04/2011,"2,84%","3,74%","26,54%","1,98%","22,80%","23,70%"
1/05/2011,"3,02%","3,88%","26,54%","1,98%","22,66%","23,52%"
1/06/2011,"3,23%","4,10%","26,54%","1,98%","22,44%","23,31%"
1/07/2011,"3,42%","4,21%","27,95%","2,07%","23,74%","24,53%"
1/08/2011,"3,27%","4,49%","27,95%","2,07%","23,46%","24,68%"
1/09/2011,"3,73%","4,61%","27,95%","2,07%","23,34%","24,22%"
1/10/2011,"4,02%","4,72%","29,09%","2,15%","24,37%","25,07%"
1/11/2011,"3,96%","5,08%","29,09%","2,15%","24,01%","25,13%"
1/12/2011,"3,73%","5,12%","29,09%","2,15%","23,97%","25,36%"
1/01/2012,"3,54%","5,13%","29,88%","2,20%","24,75%","26,34%"
1/02/2012,"3,55%","5,27%","29,88%","2,20%","24,61%","26,33%"
1/03/2012,"3,40%","5,36%","29,88%","2,20%","24,52%","26,48%"
1/04/2012,"3,43%","5,47%","30,78%","2,26%","25,31%","27,35%"
1/05/2012,"3,44%","5,45%","30,78%","2,26%","25,33%","27,34%"
1/06/2012,"3,20%","5,45%","30,78%","2,26%","25,33%","27,58%"
1/07/2012,"3,03%","5,44%","31,29%","2,29%","25,85%","28,26%"
1/08/2012,"3,11%","5,41%","31,29%","2,29%","25,88%","28,18%"
1/09/2012,"3,08%","5,32%","31,29%","2,29%","25,97%","28,21%"
1/10/2012,"3,06%","5,42%","31,34%","2,30%","25,92%","28,28%"
1/11/2012,"2,77%","5,31%","31,34%","2,30%","26,03%","28,57%"
1/12/2012,"2,44%","5,22%","31,34%","2,30%","26,12%","28,90%"
1/01/2013,"2,00%","5,12%","31,13%","2,28%","26,01%","29,13%"
1/02/2013,"1,83%","4,82%","31,13%","2,28%","26,31%","29,30%"
1/03/2013,"1,91%","4,57%","31,13%","2,28%","26,56%","29,22%"
1/04/2013,"2,02%","4,21%","31,25%","2,29%","27,04%","29,23%"
1/05/2013,"2,00%","3,98%","31,25%","2,29%","27,27%","29,25%"
1/06/2013,"2,16%","3,94%","31,25%","2,29%","27,31%","29,09%"
1/07/2013,"2,22%","3,98%","30,51%","2,24%","26,53%","28,29%"
1/08/2013,"2,27%","4,07%","30,51%","2,24%","26,44%","28,24%"
1/09/2013,"2,27%","4,07%","30,51%","2,24%","26,44%","28,24%"
1/10/2013,"1,84%","4,02%","29,78%","2,20%","25,76%","27,94%"
1/11/2013,"1,76%","4,03%","29,78%","2,20%","25,75%","28,02%"
1/12/2013,"1,94%","4,06%","29,78%","2,20%","25,72%","27,84%"
1/01/2014,"2,13%","4,03%","29,48%","2,18%","25,45%","27,35%"
1/02/2014,"2,32%","3,97%","29,48%","2,18%","25,51%","27,16%"
1/03/2014,"2,51%","3,89%","29,48%","2,18%","25,59%","26,97%"
1/04/2014,"2,72%","3,81%","29,45%","2,17%","25,64%","26,73%"
1/05/2014,"2,93%","3,79%","29,45%","2,17%","25,66%","26,52%"
1/06/2014,"2,79%","3,94%","29,45%","2,17%","25,51%","26,66%"
1/07/2014,"2,89%","4,06%","29,00%","2,14%","24,94%","26,11%"
1/08/2014,"3,02%","4,04%","29,00%","2,14%","24,96%","25,98%"
1/09/2014,"2,86%","4,26%","29,00%","2,14%","24,74%","26,14%"
1/10/2014,"3,29%","4,33%","28,76%","2,13%","24,43%","25,47%"
1/11/2014,"3,65%","4,36%","28,76%","2,13%","24,40%","25,11%"
1/12/2014,"3,66%","4,34%","28,76%","2,13%","24,42%","25,10%"
1/01/2015,"3,82%","4,47%","28,82%","2,13%","24,35%","25,00%"
1/02/2015,"4,36%","4,45%","28,82%","2,13%","24,37%","24,46%"
1/03/2015,"4,56%","4,41%","28,82%","2,13%","24,41%","24,26%"
1/04/2015,"4,64%","4,51%","29,06%","2,15%","24,55%","24,42%"
1/05/2015,"4,41%","4,42%","29,06%","2,15%","24,64%","24,65%"
1/06/2015,"4,42%","4,40%","29,06%","2,15%","24,66%","24,64%"
1/07/2015,"4,46%","4,52%","28,89%","2,14%","24,37%","24,43%"
1/08/2015,"4,74%","4,47%","28,89%","2,14%","24,42%","24,15%"
1/09/2015,"5,35%","4,41%","28,89%","2,14%","24,48%","23,54%"
1/10/2015,"5,89%","4,72%","29,00%","2,14%","24,28%","23,11%"
1/11/2015,"6,39%","4,92%","29,00%","2,14%","24,08%","22,61%"
1/12/2015,"6,77%","5,24%","29,00%","2,14%","23,76%","22,23%"
1/01/2016,"7,45%","5,74%","29,52%","2,18%","23,78%","22,07%"
1/02/2016,"7,59%","6,25%","29,52%","2,18%","23,27%","21,93%"
1/03/2016,"7,98%","6,35%","29,52%","2,18%","23,17%","21,54%"
1/04/2016,"7,93%","6,65%","30,81%","2,26%","24,16%","22,88%"
1/05/2016,"8,20%","6,83%","30,81%","2,26%","23,98%","22,61%"
1/06/2016,"8,60%","6,91%","30,81%","2,26%","23,90%","22,21%"
1/07/2016,"8,97%","7,26%","32,01%","2,34%","24,75%","23,04%"
1/08/2016,"8,10%","7,19%","32,01%","2,34%","24,82%","23,91%"
1/09/2016,"7,27%","7,18%","32,01%","2,34%","24,83%","24,74%"
1/10/2016,"6,48%","7,09%","32,99%","2,40%","25,90%","26,51%"
1/11/2016,"5,96%","7,01%","32,99%","2,40%","25,98%","27,03%"
1/12/2016,"5,75%","6,92%","32,99%","2,40%","26,07%","27,24%"
1/01/2017,"5,47%","6,94%","33,51%","2,44%","26,57%","28,04%"
1/02/2017,"5,18%","6,78%","33,51%","2,44%","26,73%","28,33%"
1/03/2017,"4,69%","6,65%","33,51%","2,44%","26,86%","28,82%"
1/04/2017,"4,66%","6,53%","33,50%","2,44%","26,97%","28,84%"
1/05/2017,"4,37%","6,17%","33,50%","2,44%","27,33%","29,13%"
1/06/2017,"3,99%","5,96%","33,50%","2,44%","27,54%","29,51%"
1/07/2017,"3,40%","5,65%","32,97%","2,40%","27,32%","29,57%"
1/08/2017,"3,87%","5,58%","32,97%","2,40%","27,39%","29,10%"
1/09/2017,"3,97%","5,52%","32,97%","2,40%","27,45%","29,00%"
1/10/2017,"4,05%","5,46%","31,73%","2,32%","26,27%","27,68%"
1/11/2017,"4,12%","5,35%","31,44%","2,30%","26,09%","27,32%"
1/12/2017,"4,09%","5,28%","31,16%","2,29%","25,88%","27,07%"
1/01/2018,"3,68%","5,21%","31,04%","2,28%","25,83%","27,36%"
1/02/2018,"3,37%","5,07%","31,52%","2,31%","26,45%","28,15%"
1/03/2018,"3,14%","5,01%","31,02%","2,28%","26,01%","27,88%"
1/04/2018,"3,13%","4,90%","30,72%","2,26%","25,82%","27,59%"
1/05/2018,"3,16%","4,70%","30,66%","2,25%","25,96%","27,50%"
1/06/2018,"3,20%","4,60%","30,42%","2,24%","25,82%","27,22%"
1/07/2018,"3,12%","4,57%","30,05%","2,21%","25,48%","26,93%"
1/08/2018,"3,10%","4,53%","29,91%","2,20%","25,38%","26,81%"
1/09/2018,"3,23%","4,53%","29,72%","2,19%","25,19%","26,49%"
1/10/2018,"3,33%","4,43%","29,45%","2,17%","25,02%","26,12%"
1/11/2018,"3,27%","4,42%","29,24%","2,16%","24,82%","25,97%"
1/12/2018,"3,18%","4,54%","29,10%","2,15%","24,56%","25,92%"
1/01/2019,"3,15%","4,56%","28,74%","2,13%","24,18%","25,59%"
1/02/2019,"3,01%","4,57%","29,55%","2,18%","24,98%","26,54%"
1/03/2019,"3,21%","4,55%","29,06%","2,15%","24,51%","25,85%"
1/04/2019,"3,25%","4,54%","28,98%","2,14%","24,44%","25,73%"
1/05/2019,"3,31%","4,50%","29,01%","2,15%","24,51%","25,70%"
1/06/2019,"3,43%","4,52%","28,95%","2,14%","24,43%","25,52%"
1/07/2019,"3,79%","4,47%","28,92%","2,14%","24,45%","25,13%"
1/08/2019,"3,75%","4,43%","28,98%","2,14%","24,55%","25,23%"
1/09/2019,"3,82%","4,48%","28,98%","2,14%","24,50%","25,16%"
1/10/2019,"3,86%","4,41%","28,65%","2,12%","24,24%","24,79%"
1/11/2019,"3,84%","4,43%","28,55%","2,11%","24,12%","24,71%"
1/12/2019,"3,80%","4,52%","28,37%","2,10%","23,85%","24,57%"
1/01/2020,"3,62%","4,54%","28,16%","2,09%","23,62%","24,54%"
1/02/2020,"3,72%","4,46%","28,59%","2,12%","24,13%","24,87%"
1/03/2020,"3,86%","4,50%","28,43%","2,11%","23,93%","24,57%"
1/04/2020,"3,51%","4,55%","28,04%","2,08%","23,49%","24,53%"
1/05/2020,"2,85%","4,29%","27,29%","2,03%","23,00%","24,44%"
1/06/2020,"2,19%","3,76%","27,18%","2,02%","23,42%","24,99%"
1/07/2020,"1,97%","3,34%","27,18%","2,02%","23,84%","25,21%"
1/08/2020,"1,88%","2,79%","27,44%","2,04%","24,65%","25,56%"
1/09/2020,"1,97%","2,39%","27,53%","2,05%","25,14%","25,56%"
1/10/2020,"1,75%","2,03%","27,14%","2,02%","25,11%","25,39%"
1/11/2020,"1,49%","1,96%","26,76%","2,00%","24,80%","25,27%"
1/12/2020,"1,61%","1,93%","26,19%","1,96%","24,26%","24,58%"
1/01/2021,"1,60%","1,91%","25,98%","1,94%","24,07%","24,38%"
1/02/2021,"1,56%","1,81%","26,31%","1,97%","24,50%","24,75%"
1/03/2021,"1,51%","1,77%","26,12%","1,95%","24,35%","24,61%"
1/04/2021,"1,95%","1,76%","25,97%","1,94%","24,21%","24,02%"
1/05/2021,"3,30%","1,82%","25,83%","1,93%","24,01%","22,53%"
1/06/2021,"3,63%","1,91%","25,82%","1,93%","23,91%","22,19%"
1/07/2021,"3,97%","1,90%","25,77%","1,93%","23,87%","21,80%"
1/08/2021,"4,44%","1,99%","25,86%","1,94%","23,87%","21,42%"
1/09/2021,"4,51%","2,05%","25,79%","1,93%","23,74%","21,28%"
1/10/2021,"4,58%","2,22%","25,62%","1,92%","23,40%","21,04%"
1/11/2021,"5,26%","2,65%","25,91%","1,94%","23,26%","20,65%"
1/12/2021,"5,62%","3,08%","26,19%","1,96%","23,11%","20,57%"
1/01/2022,"6,94%","3,47%","26,49%","1,98%","23,02%","19,55%"
1/02/2022,"8,01%","4,31%","27,45%","2,04%","23,14%","19,44%"
1/03/2022,"8,53%","4,97%","27,71%","2,06%","22,74%","19,18%"
1/04/2022,"9,23%","5,97%","28,58%","2,12%","22,61%","19,35%"
1/05/2022,"9,07%","7,04%","29,57%","2,18%","22,53%","20,50%"
1/06/2022,"9,67%","7,72%","30,60%","2,25%","22,88%","20,93%"
1/07/2022,"10,21%","9,30%","31,92%","2,34%","22,62%","21,71%"
1/08/2022,"10,84%","10,57%","33,32%","2,43%","22,75%","22,48%"
1/09/2022,"11,44%","10,99%","35,25%","2,55%","24,26%","23,81%"
1/10/2022,"12,22%","11,60%","36,92%","2,65%","25,32%","24,70%"
1/11/2022,"12,53%","12,63%","38,67%","2,76%","26,04%","26,14%"
1/12/2022,"13,12%","13,42%","41,46%","2,93%","28,04%","28,34%"
1/01/2023,"13,25%","13,91%","43,26%","3,04%","29,35%","30,01%"
1/02/2023,"13,28%","14,39%","45,27%","3,16%","30,88%","31,99%"
1/03/2023,"13,34%","13,31%","46,26%","3,22%","32,95%","32,92%"
1/04/2023,"12,82%","12,53%","47,09%","3,27%","34,56%","34,27%"
1/05/2023,"12,36%","12,57%","45,41%","3,17%","32,84%","33,05%"
1/06/2023,"12,13%","13,02%","44,64%","3,12%","31,62%","32,51%"
1/07/2023,"11,78%","13,58%","44,04%","3,09%","30,46%","32,26%"
1/08/2023,"11,43%","13,71%","43,13%","3,03%","29,42%","31,70%"
1/09/2023,"10,99%","13,07%","42,05%","2,97%","28,98%","31,06%"
1/10/2023,"10,48%","13,09%","39,80%","2,83%","26,71%","29,32%"
1/11/2023,"10,15%","12,76%","38,28%","2,74%","25,52%","28,13%"
1/12/2023,"9,28%","12,63%","37,56%","2,69%","24,93%","28,28%"
1/01/2024,"8,35%","11,62%","34,98%","2,53%","23,36%","26,63%"
1/02/2024,"7,74%","11,07%","34,97%","2,53%","23,90%","27,23%"
1/03/2024,"7,36%","10,85%","33,30%","2,42%","22,45%","25,94%"
1/04/2024,"7,16%","10,56%","33,09%","2,41%","22,53%","25,93%"
1/05/2024,"7,16%","10,24%","31,53%","2,31%","21,29%","24,37%"
01/06/2024,"7,18%","10,14%","30,84%","2,27%","20,70%","23,66%"
01/07/2024,"6,86%","10,08%","29,49%","2,18%","19,41%","22,63%"
01/08/2024,"6,12%","9,90%","29,21%","2,16%","19,31%","23,09%"
01/09/2024,"5,81%","9,68%","28,85%","2,13%","19,17%","23,04%"
01/10/2024,,,"28,17%",,,
